"Aerosaab",\N,"","SBH","AEROSAAB","Mexico"
"Aerosaba",\N,"","ESB","AEROSABA","Mexico"
"Aerosafin",\N,"","FIC","AEROSAFIN","Mexico"
"Aero Sami",\N,"","SMI","SAMI","Mexico"
"Aerosan",\N,"","OSN","AEROSAN","Mexico"
"Aerosec",\N,"","ERK","AEROSEC","Chile"
"Aerosegovia",\N,"","SGV","SEGOVIA","Nicaragua"
"Aeroserivios Del Bajio",\N,"","RBJ","AEROBAJIO","Mexico"
"Aero-Service",\N,"BF","RSR","CONGOSERV","Republic of the Congo"
"Aeroservices Corporate",\N,"","CJE","BIRD JET","France"
"Aero Services Executive",\N,"W4","BES","BIRD EXPRESS","France"
"Aero Services",\N,"","BAS","AEROSERV","Barbados"
"Aero Servicio Corporativo",\N,"","SRV","SERVICORP","Mexico"
"Aero Servicio Pity",\N,"","PTD","PITY","Mexico"
"Aero Servicios Azteca",\N,"","TED","AEROAZTECA","Mexico"
"Aeroservicios California Pacifico",\N,"","PIF","AEROCALPA","Mexico"
"Aeroservicios Corporativos De San Luis",\N,"","PSL","CORSAN","Mexico"
"Aeroservicios de La Costa",\N,"","TAA","AERO COSTA","Mexico"
"Aero Servicios de Nuevo Laredo",\N,"","NEL","AEROLAREDO","Mexico"
"Aeroservicios De Nuevo Leon",\N,"","NUL","SERVICIOS NUEVOLEON","Mexico"
"Aeroservicios De San Luis",\N,"","SUO","SERVICIO SANLUIS","Mexico"
"Aeroservicios Dinamicos",\N,"","DMI","AERODINAMICO","Mexico"
"Aeroservicios Ecuatorianos",\N,"","EAE","AECA","Ecuador"
"Aero Servicios Ejecutivas Del Pacifico",\N,"","SEF","SERVIPACIFICO","Mexico"
"Aeroservicios Ejecutivos Corporativos",\N,"","EJP","EJECCORPORATIVOS","Mexico"
"Aeroservicios Ejecutivos Del Occidente",\N,"","AEO","AERO OCCIDENTE","Mexico"
"Aeroservicios Ejecutivos Del Pacifico",\N,"","SPO","EJECTUIV PACIFICO","Mexico"
"Aero Servicios Ejecutivos Internacionales",\N,"","SII","ASEISA","Mexico"
"Aero Servicios Empresariales",\N,"","EMS","SERVIEMPRESARIAL","Mexico"
"Aero Servicios Expecializados",\N,"","SVE","AEROESPECIAL","Mexico"
"Aeroservicios Gama",\N,"","GMS","SERVICIOS GAMA","Mexico"
"Aeroservicios Intergrados de Norte",\N,"","INO","INTENOR","Mexico"
"Aeroservicio Sipse",\N,"","PSE","SIPSE","Mexico"
"Aeroservicios Jet",\N,"","RJS","ASERJET","Mexico"
"Aeroservicios Monterrey",\N,"","SVM","SERVIMONTE","Mexico"
"Aero Servicios",\N,"","RVI","AERO SERVICIOS","Mexico"
"Aero Servicios Platinum",\N,"","PNU","AERO PLATINUM","Mexico"
"Aero Servicios Regiomontanos",\N,"","ERI","ASERGIO","Mexico"
"Aero Servicios Vanguardia",\N,"","VNG","VANGUARDIA","Mexico"
"Aero Siete",\N,"","ETE","AEROSIETE","Mexico"
"Aero Silza",\N,"","SIZ","AEROSILZA","Mexico"
"Aerosiyusa",\N,"","SIY","SIYUSA","Mexico"
"Aero Slovakia",\N,"","ASO","AERO NITRA","Slovakia"
"Aerosmith Aviation",\N,"","JPR","JASPER","United States"
"Aero Soga",\N,"","SOG","AEROSOGA","Guinea-Bissau"
"Aerostar Airlines",\N,"","UAR","AEROSTAR","Ukraine"
"AeroSucre",\N,"","KRE","AEROSUCRE","Colombia"
"Aerosud Aviation",\N,"","SYT","SKYTRACK","South Africa"
"Aerosud Charter",\N,"","MDX","MEDAIR","South Africa"
"Aero Sudpacifico",\N,"","SDP","SUDPACIFICO","Mexico"
"Aerosun International",\N,"","ASI"," Inc.","AEROSUN"
"Aerosuper",\N,"","SUP","AEROSUPER","Mexico"
"Aerosur",\N,"5L","RSU","AEROSUR","Bolivia"
"Aero Survey",\N,"","IKM","GHANA SURVEY","Ghana"
"Aerosvit Airlines",\N,"VV","AEW","AEROSVIT","Ukraine"
"AeroTACA",\N,"","ATK","AEROTACA","Colombia"
"Aerotal Aerolineas Territoriales de Colombia Ltda",\N,"","ART","AEROTAL","Colombia"
"Aero Tanala",\N,"","TON","AEROTANALA","Mexico"
