# airline	from	to	codeshare	stops	equipment
# Date: 2009-12-07
3P	CUR	AUA		0	SH6
3P	LSP	AUA		0	SH6
3P	RCH	AUA		0	SH6
3R	AZN	DME		0	TU5
3R	BHK	DME		0	TU5
3R	DME	AZN		0	TU5
3R	DME	KVD		0	TU5
3R	DME	SKD		0	TU5
3R	DME	TGD		0	TU5
3R	DME	TIV		0	TU5
3R	KVD	DME		0	TU5
3R	NMA	DME		0	TU5
3R	SKD	DME		0	TU5
3R	TGD	DME		0	TU5
3R	TIV	DME		0	TU5
3R	TMJ	DME		0	TU5
3S	FDF	PTP		0	AT5 AT4
3S	PTP	FDF		0	AT5 AT4
3S	PTP	SBH		0	DHT ND2
3S	PTP	SFG		0	AT5 DHT
3S	SBH	PTP		0	ND2 DHT
3S	SFG	PTP		0	AT5 DHT
3T	DME	KVD		0	TU5
3T	GYD	SVX		0	TU5
3T	KVD	DME		0	TU5
3T	SVX	GYD		0	TU5
3U	CAN	CKG		0	319 320
3U	CAN	CTU		0	319 320
3U	CGO	CGQ		0	319
3U	CGO	CKG		0	ERJ
3U	CGO	CTU		0	319
3U	CGO	HET		0	ERJ
3U	CGO	SJW		0	ERJ
3U	CGQ	CGO		0	319
3U	CGQ	SJW		0	320
3U	CGQ	XUZ		0	ERJ
3U	CKG	CAN		0	320 319
3U	CKG	CGO		0	ERJ
3U	CKG	CSX		0	320
3U	CKG	HGH		0	320
3U	CKG	INC		0	319
3U	CKG	JZH		0	319
3U	CKG	KHN		0	320
3U	CKG	KMG		0	320 319
3U	CKG	LJG		0	319
3U	CKG	LXA		0	319
3U	CKG	NGB		0	319
3U	CKG	NKG		0	320
3U	CKG	PEK		0	320
3U	CKG	PVG		0	319
3U	CKG	SJW		0	ERJ
3U	CKG	SYX		0	320
3U	CKG	SZX		0	320
3U	CKG	TNA		0	319
3U	CKG	TSA		0	320
3U	CKG	WNZ		0	319
3U	CKG	XIY		0	319
3U	CKG	XNN		0	320
3U	CKG	XUZ		0	ERJ
3U	CKG	YIH		0	320
3U	CSX	CKG		0	320
3U	CSX	CTU		0	320
3U	CSX	FOC		0	320
3U	CSX	XMN		0	320
3U	CTU	CAN		0	319 320
3U	CTU	CGO		0	319
3U	CTU	CSX		0	320
3U	CTU	HAK		0	320
3U	CTU	HET		0	319
3U	CTU	HFE		0	319
3U	CTU	HGH		0	320
3U	CTU	INC		0	319
3U	CTU	JZH		0	319
3U	CTU	KHN		0	319
3U	CTU	KMG		0	319
3U	CTU	KWE		0	320 319
3U	CTU	KWL		0	319
3U	CTU	LHW		0	319
3U	CTU	LJG		0	319
3U	CTU	LXA		0	319
3U	CTU	NKG		0	320 319
3U	CTU	NNG		0	319
3U	CTU	PEK		0	321 320 319
3U	CTU	PVG		0	320 321
3U	CTU	PZI		0	319
3U	CTU	SJW		0	320
3U	CTU	SYX		0	320
3U	CTU	SZX		0	320
3U	CTU	TAO		0	319
3U	CTU	TNA		0	319
3U	CTU	TSA		0	321
3U	CTU	TSN		0	319
3U	CTU	TYN		0	319
3U	CTU	URC		0	319
3U	CTU	WNZ		0	320
3U	CTU	WUH		0	319
3U	CTU	WUX		0	320
3U	CTU	XIC		0	320
3U	CTU	XIY		0	319
3U	CTU	XMN		0	319
3U	CTU	XNN		0	319
3U	CTU	XUZ		0	319
3U	CTU	YIH		0	319
3U	DLC	TNA		0	319
3U	DLC	XUZ		0	319
3U	DSN	SJW		0	ERJ
3U	FOC	CSX		0	320
3U	FOC	KHN		0	319
3U	HAK	CTU		0	320
3U	HET	CGO		0	ERJ
3U	HET	CTU		0	319
3U	HFE	CTU		0	319
3U	HGH	CKG		0	320
3U	HGH	CTU		0	320
3U	HGH	JZH		0	319
3U	HRB	NKG		0	320
3U	HRB	TNA		0	319
3U	HRB	WNZ		0	319
3U	INC	CKG		0	319
3U	INC	CTU		0	319
3U	JZH	CKG		0	319
3U	JZH	CTU		0	319
3U	JZH	HGH		0	319
3U	JZH	PEK		0	319
3U	JZH	SHA		0	319
3U	KHN	CKG		0	319
3U	KHN	CTU		0	319
3U	KHN	FOC		0	320
3U	KHN	NGB		0	319
3U	KMG	CKG		0	320 319
3U	KMG	CTU		0	319
3U	KMG	KWE		0	320
3U	KMG	NGB		0	319
3U	KMG	TPE		0	320
3U	KMG	WXN		0	319
3U	KWE	CTU		0	319 320
3U	KWE	KMG		0	320
3U	KWE	SYX		0	319
3U	KWE	TYN		0	319
3U	KWE	WNZ		0	320
3U	KWL	CTU		0	319
3U	LHW	CTU		0	319
3U	LHW	SYX		0	320
3U	LHW	URC		0	320
3U	LJG	CKG		0	319
3U	LJG	CTU		0	319
3U	LXA	CKG		0	319
3U	LXA	CTU		0	319
3U	NGB	CKG		0	319
3U	NGB	KHN		0	319
3U	NGB	KMG		0	319
3U	NKG	CKG		0	320
3U	NKG	CTU		0	320 319
3U	NKG	HRB		0	320
3U	NNG	CTU		0	319
3U	NTG	WUH		0	319
3U	PEK	CKG		0	320
3U	PEK	CTU		0	320 321 319
3U	PEK	JZH		0	319
3U	PEK	WXN		0	319
3U	PVG	CKG		0	319
3U	PVG	CTU		0	320 321
3U	PZI	CTU		0	319
3U	SHA	JZH		0	319
3U	SHE	TSN		0	319
3U	SJW	CGO		0	ERJ
3U	SJW	CGQ		0	320
3U	SJW	CKG		0	ERJ
3U	SJW	CTU		0	320
3U	SJW	DSN		0	ERJ
3U	SYX	CKG		0	320
3U	SYX	CTU		0	320
3U	SYX	KWE		0	319
3U	SYX	LHW		0	320
3U	SYX	WNZ		0	319
3U	SZX	CKG		0	320
3U	SZX	CTU		0	320
3U	TAO	CTU		0	319
3U	TNA	CKG		0	319
3U	TNA	CTU		0	319
3U	TNA	DLC		0	319
3U	TNA	HRB		0	319
3U	TPE	KMG		0	320
3U	TSA	CKG		0	320
3U	TSA	CTU		0	321
3U	TSN	CTU		0	319
3U	TSN	SHE		0	319
3U	TYN	CTU		0	319
3U	TYN	KWE		0	319
3U	URC	CTU		0	319
3U	URC	LHW		0	320
3U	WNZ	CKG		0	319
3U	WNZ	CTU		0	320
3U	WNZ	HRB		0	319
3U	WNZ	KWE		0	320
3U	WNZ	SYX		0	319
3U	WUH	CTU		0	319
3U	WUH	NTG		0	319
3U	WUX	CTU		0	320
3U	WXN	KMG		0	319
