# airline	from	to	codeshare	stops	equipment
# Date: 2010-08-20
3U	FOC	CSX		0	321
3U	FOC	KHN		0	319
3U	HAK	CKG		0	320
3U	HAK	CTU		0	321
3U	HET	CTU		0	320
3U	HFE	CTU		0	319 320
3U	HGH	CGO		0	319
3U	HGH	CKG		0	320
3U	HGH	CTU		0	320
3U	HGH	DLC		0	320
3U	HGH	JZH		0	319
3U	HKG	CTU		0	320
3U	HRB	CGO		0	320
3U	HRB	DLC		0	320
3U	HRB	NKG		0	319
3U	HRB	SJW		0	ERJ
3U	HRB	TNA		0	320
3U	HRB	WNZ		0	320
3U	ICN	CTU		0	320
3U	INC	CKG		0	319
3U	INC	CTU		0	320
3U	INC	KWL		0	320
3U	JZH	CKG		0	319
3U	JZH	CTU		0	319
3U	JZH	HGH		0	319
3U	JZH	PEK		0	319
3U	JZH	XIY		0	319
3U	KGT	CKG		0	319
3U	KHN	CKG		0	319
3U	KHN	CTU		0	321
3U	KHN	FOC		0	319
3U	KHN	KWL		0	ERJ
3U	KHN	NGB		0	321
3U	KHN	SJW		0	ERJ
3U	KMG	CGO		0	320
3U	KMG	CKG		0	320
3U	KMG	CTU		0	320 321
3U	KMG	KWE		0	320
3U	KMG	NGB		0	320
3U	KMG	TNA		0	320
3U	KMG	TPE		0	320
3U	KMG	WXN		0	320
3U	KMG	XNN		0	320
3U	KWE	CTU		0	319
3U	KWE	KMG		0	320
3U	KWE	WNZ		0	320
3U	KWL	CKG		0	319
3U	KWL	CTU		0	321
3U	KWL	INC		0	320
3U	KWL	KHN		0	ERJ
3U	KWL	SYX		0	320
3U	LHW	CTU		0	319
3U	LHW	SJW		0	ERJ
3U	LHW	URC		0	320
3U	LJG	CKG		0	319
3U	LJG	CTU		0	319
3U	LXA	CKG		0	319
3U	LXA	CTU		0	319
3U	LYI	CTU		0	320
3U	LYI	TNA		0	320
3U	MLE	CTU		0	330
3U	NGB	CKG		0	319
3U	NGB	KHN		0	321
3U	NGB	KMG		0	320
3U	NKG	CKG		0	319
3U	NKG	CTU		0	321
3U	NKG	HRB		0	319
3U	NNG	CTU		0	321
3U	NTG	WUH		0	319
3U	PEK	CKG		0	320 319
3U	PEK	CTU		0	320 321 330
3U	PEK	JZH		0	319
3U	PEK	WXN		0	320
3U	PVG	CKG		0	320 319
3U	PVG	CTU		0	330 321
3U	PZI	CTU		0	319
3U	SHA	CTU		0	319
3U	SHE	CTU		0	319
3U	SHE	TSN		0	320
3U	SHE	XUZ		0	ERJ
3U	SHP	SJW		0	ERJ
3U	SJW	CGO		0	ERJ
3U	SJW	CGQ		0	319
3U	SJW	CKG		0	ERJ
3U	SJW	CTU		0	319
3U	SJW	DSN		0	ERJ
3U	SJW	HRB		0	ERJ
3U	SJW	KHN		0	ERJ
3U	SJW	LHW		0	ERJ
3U	SJW	SHP		0	ERJ
3U	SJW	XIY		0	ERJ
3U	SYX	CKG		0	320
3U	SYX	CTU		0	330
3U	SYX	KWL		0	320
3U	SYX	TNA		0	320
3U	SYX	WNZ		0	320
3U	SZX	CKG		0	320
3U	SZX	CTU		0	320 321
3U	TAO	CTU		0	321
3U	TNA	CGQ		0	320
3U	TNA	CKG		0	320
3U	TNA	CTU		0	321 320
3U	TNA	DLC		0	321
3U	TNA	HRB		0	320
3U	TNA	KMG		0	320
3U	TNA	LYI		0	320
3U	TNA	SYX		0	320
3U	TPE	KMG		0	320
3U	TSA	CKG		0	320
3U	TSA	CTU		0	321
3U	TSN	CTU		0	320
3U	TSN	SHE		0	320
3U	TYN	CTU		0	320
3U	URC	CGO		0	320
3U	URC	CKG		0	320
3U	URC	CTU		0	319 330
3U	WNZ	CKG		0	319
3U	WNZ	CTU		0	320 321
3U	WNZ	HRB		0	320
3U	WNZ	KWE		0	320
3U	WNZ	SYX		0	320
3U	WUH	CTU		0	319
3U	WUH	NTG		0	319
3U	WUX	CKG		0	320 319
3U	WUX	CTU		0	320
3U	WXN	KMG		0	320
3U	WXN	PEK		0	320
3U	XIC	CTU		0	320
3U	XIY	CKG		0	319
3U	XIY	CTU		0	321
3U	XIY	JZH		0	319
3U	XIY	SJW		0	ERJ
3U	XMN	CSX		0	320
3U	XMN	CTU		0	321
3U	XNN	CKG		0	320
3U	XNN	CTU		0	320
3U	XNN	KMG		0	320
3U	XUZ	CGQ		0	ERJ
3U	XUZ	CKG		0	ERJ
3U	XUZ	CTU		0	319
3U	XUZ	DLC		0	319
3U	XUZ	SHE		0	ERJ
3U	YIH	CKG		0	320
3U	YIH	CTU		0	320
3Z	AET	FAI		0	PAG
3Z	AKP	AET		0	PAG
3Z	ARC	WBQ		0	PAG
3Z	BTT	AKP		0	PAG
3Z	EAA	FAI		0	PAG
3Z	FAI	BTT		0	PAG
3Z	FAI	EAA		0	PAG
3Z	FAI	FYU		0	PAG
3Z	FAI	LMA		0	PAG
3Z	FYU	VEE		0	PAG
3Z	LMA	FAI		0	PAG
3Z	VEE	ARC		0	PAG
3Z	WBQ	FAI		0	PAG
4C	ADZ	BOG		0	73W
4C	ADZ	CLO		0	73W
4C	ADZ	MDE		0	73W
4C	APO	EOH		0	DH2
4C	AXM	BOG		0	DH2
4C	BAQ	BOG		0	737 73W
4C	BAQ	CTG		0	DH2
4C	BAQ	CUR		0	DH2
4C	BAQ	FLL		0	73W
4C	BAQ	MDE		0	73W
4C	BAQ	MTR		0	DH2
