"   82" "Buttonville Municipal Airport" "Toronto" "Canada" "YKZ" "CYKZ" " 43.8622017" " -79.370003" "  650" " -5.00" "A" "airport" "OurAirports" "America/Toronto"
"   83" "Chapleau Airport" "Chapleau" "Canada" "YLD" "CYLD" " 47.8199997" " -83.346703" " 1470" " -5.00" "A" "airport" "OurAirports" "America/Toronto"
"   84" "Meadow Lake Airport" "Meadow Lake" "Canada" "YLJ" "CYLJ" " 54.1253014" "-108.523003" " 1576" " -6.00" "N" "airport" "OurAirports" "America/Regina"
"   85" "Lloydminster Airport" "Lloydminster" "Canada" "YLL" "CYLL" " 53.3092003" "-110.072998" " 2193" " -7.00" "A" "airport" "OurAirports" "America/Edmonton"
"   86" "Alert Airport" "Alert" "Canada" "YLT" "CYLT" " 82.5177994" " -62.280602" "  100" " -5.00" "A" "airport" "OurAirports" "America/Pangnirtung"
"   87" "Kelowna International Airport" "Kelowna" "Canada" "YLW" "CYLW" " 49.9561005" "-119.377998" " 1421" " -8.00" "A" "airport" "OurAirports" "America/Vancouver"
"   88" "Mayo Airport" "Mayo" "Canada" "YMA" "CYMA" " 63.6164017" "-135.867996" " 1653" " -8.00" "A" "airport" "OurAirports" "America/Whitehorse"
"   89" "Moose Jaw Air Vice Marshal C. M. McEwen Airport" "Moose Jaw" "Canada" "YMJ" "CYMJ" " 50.3302994" "-105.558998" " 1892" " -6.00" "N" "airport" "OurAirports" "America/Regina"
"   90" "Fort McMurray Airport" "Fort Mcmurray" "Canada" "YMM" "CYMM" " 56.6533012" "-111.222000" " 1211" " -7.00" "A" "airport" "OurAirports" "America/Edmonton"
"   91" "Moosonee Airport" "Moosonee" "Canada" "YMO" "CYMO" " 51.2910995" " -80.607803" "   30" " -5.00" "A" "airport" "OurAirports" "America/Toronto"
"   92" "Maniwaki Airport" "Maniwaki" "Canada" "YMW" "CYMW" " 46.2728004" " -75.990601" "  656" " -5.00" "A" "airport" "OurAirports" "America/Montreal"
"   93" "Montreal International (Mirabel) Airport" "Montreal" "Canada" "YMX" "CYMX" " 45.6795006" " -74.038696" "  270" " -5.00" "A" "airport" "OurAirports" "America/Montreal"
"   94" "Natashquan Airport" "Natashquan" "Canada" "YNA" "CYNA" " 50.1899986" " -61.789200" "   39" " -5.00" "A" "airport" "OurAirports" "America/Montreal"
"   95" "Ottawa / Gatineau Airport" "Gatineau" "Canada" "YND" "CYND" " 45.5217018" " -75.563599" "  211" " -5.00" "A" "airport" "OurAirports" "America/Montreal"
"   96" "Matagami Airport" "Matagami" "Canada" "YNM" "CYNM" " 49.7616997" " -77.802803" "  918" " -5.00" "A" "airport" "OurAirports" "America/Montreal"
"   97" "Old Crow Airport" "Old Crow" "Canada" "YOC" "CYOC" " 67.5706024" "-139.839005" "  824" " -8.00" "A" "airport" "OurAirports" "America/Whitehorse"
"   98" "CFB Cold Lake" "Cold Lake" "Canada" "YOD" "CYOD" " 54.4049988" "-110.278999" " 1775" " -7.00" "A" "airport" "OurAirports" "America/Edmonton"
"   99" "High Level Airport" "High Level" "Canada" "YOJ" "CYOJ" " 58.6213989" "-117.165001" " 1110" " -7.00" "A" "airport" "OurAirports" "America/Edmonton"
"  100" "Ottawa Macdonald-Cartier International Airport" "Ottawa" "Canada" "YOW" "CYOW" " 45.3224983" " -75.669197" "  374" " -5.00" "A" "airport" "OurAirports" "America/Toronto"
"  101" "Prince Albert Glass Field" "Prince Albert" "Canada" "YPA" "CYPA" " 53.2141991" "-105.672997" " 1405" " -6.00" "N" "airport" "OurAirports" "America/Regina"
"  102" "Peace River Airport" "Peace River" "Canada" "YPE" "CYPE" " 56.2268982" "-117.446999" " 1873" " -7.00" "A" "airport" "OurAirports" "America/Edmonton"
"  103" "Southport Airport" "Portage-la-prairie" "Canada" "YPG" "CYPG" " 49.9030990" " -98.273817" "  885" " -6.00" "A" "airport" "OurAirports" "America/Winnipeg"
"  104" "Pitt Meadows Airport" "Pitt Meadows" "Canada" NA "CYPK" " 49.2160988" "-122.709999" "   11" " -8.00" "A" "airport" "OurAirports" "America/Vancouver"
"  105" "Pickle Lake Airport" "Pickle Lake" "Canada" "YPL" "CYPL" " 51.4463997" " -90.214203" " 1267" " -5.00" "A" "airport" "OurAirports" "America/Toronto"
"  106" "Port Menier Airport" "Port Menier" "Canada" "YPN" "CYPN" " 49.8363991" " -64.288597" "  167" " -5.00" "A" "airport" "OurAirports" "America/Montreal"
"  107" "Peterborough Airport" "Peterborough" "Canada" "YPQ" "CYPQ" " 44.2299995" " -78.363297" "  628" " -5.00" "A" "airport" "OurAirports" "America/Toronto"
"  108" "Prince Rupert Airport" "Prince Pupert" "Canada" "YPR" "CYPR" " 54.2860985" "-130.445007" "  116" " -8.00" "A" "airport" "OurAirports" "America/Vancouver"
"  109" "Fort Chipewyan Airport" "Fort Chipewyan" "Canada" "YPY" "CYPY" " 58.7672005" "-111.116997" "  761" " -7.00" "A" "airport" "OurAirports" "America/Edmonton"
"  110" "Muskoka Airport" "Muskoka" "Canada" "YQA" "CYQA" " 44.9747009" " -79.303299" "  925" " -5.00" "A" "airport" "OurAirports" "America/Toronto"
"  111" "Quebec Jean Lesage International Airport" "Quebec" "Canada" "YQB" "CYQB" " 46.7911000" " -71.393303" "  244" " -5.00" "A" "airport" "OurAirports" "America/Montreal"
"  112" "Red Deer Regional Airport" "Red Deer Industrial" "Canada" "YQF" "CYQF" " 52.1822014" "-113.893997" " 2968" " -7.00" "A" "airport" "OurAirports" "America/Edmonton"
"  113" "Windsor Airport" "Windsor" "Canada" "YQG" "CYQG" " 42.2756004" " -82.955597" "  622" " -5.00" "A" "airport" "OurAirports" "America/Toronto"
"  114" "Watson Lake Airport" "Watson Lake" "Canada" "YQH" "CYQH" " 60.1164017" "-128.822006" " 2255" " -8.00" "A" "airport" "OurAirports" "America/Whitehorse"
"  115" "Kenora Airport" "Kenora" "Canada" "YQK" "CYQK" " 49.7882996" " -94.363098" " 1332" " -6.00" "A" "airport" "OurAirports" "America/Winnipeg"
"  116" "Lethbridge County Airport" "Lethbridge" "Canada" "YQL" "CYQL" " 49.6302986" "-112.800003" " 3048" " -7.00" "A" "airport" "OurAirports" "America/Edmonton"
"  117" "Greater Moncton International Airport" "Moncton" "Canada" "YQM" "CYQM" " 46.1122017" " -64.678596" "  232" " -4.00" "A" "airport" "OurAirports" "America/Moncton"
