# airline	from	to	codeshare	stops	equipment
# Date: 2011-01-20
3U	FOC	CSX		0	320
3U	FOC	KHN		0	320
3U	HAK	CKG		0	320
3U	HAK	CSX		0	319
3U	HAK	CTU		0	321
3U	HET	CTU		0	320
3U	HFE	CTU		0	320
3U	HGH	CKG		0	320
3U	HGH	CTU		0	319 320
3U	HGH	MIG		0	319
3U	HKG	BHY		0	320
3U	HKG	CTU		0	320
3U	HKT	CTU		0	321
3U	HRB	CGO		0	319
3U	HRB	NKG		0	320
3U	HRB	SJW		0	319
3U	HRB	TNA		0	320
3U	HRB	WNZ		0	320
3U	HRB	XUZ		0	320
3U	INC	CKG		0	320
3U	INC	CTU		0	320
3U	INC	KWL		0	320
3U	JHG	KMG		0	320
3U	JIQ	CKG		0	ERJ
3U	JZH	CTU		0	319
3U	KHN	CKG		0	320
3U	KHN	CTU		0	320
3U	KHN	FOC		0	320
3U	KHN	NGB		0	320
3U	KMG	CGO		0	319
3U	KMG	CKG		0	320 319
3U	KMG	CTU		0	320 319
3U	KMG	JHG		0	320
3U	KMG	KWE		0	320
3U	KMG	NGB		0	320
3U	KMG	TPE		0	319
3U	KMG	WXN		0	319
3U	KMG	XUZ		0	320
3U	KWE	CTU		0	319 320
3U	KWE	KMG		0	320
3U	KWE	SYX		0	320
3U	KWE	WNZ		0	320
3U	KWE	XUZ		0	ERJ
3U	KWL	CTU		0	319
3U	KWL	INC		0	320
3U	KWL	SYX		0	320
3U	LHW	CTU		0	320
3U	LJG	CKG		0	319
3U	LJG	CTU		0	319
3U	LJG	MIG		0	319
3U	LXA	CKG		0	319
3U	LXA	CTU		0	319
3U	LXA	XNN		0	319
3U	LYI	CTU		0	320
3U	LYI	TNA		0	320
3U	MIG	HGH		0	319
3U	MIG	LJG		0	319
3U	MLE	CTU		0	330
3U	NGB	CKG		0	320
3U	NGB	KHN		0	320
3U	NGB	KMG		0	320
3U	NKG	CKG		0	320
3U	NKG	CTU		0	320
3U	NKG	HRB		0	320
3U	NNG	CKG		0	ERJ
3U	NNG	CTU		0	321
3U	NTG	WUH		0	320
